TS	4/4	
Bar	[1.0, 2.0, 3.0]	[64, 66, 67]
Grp	0.0	
Bar	[0.0]	[72]
Bar	[0.0, 1.0, 2.0, 3.0]	[72, 62, 64, 66]
Bar	[0.0, 2.0]	[71, 71]
Bar	[0.0, 1.0, 2.0, 3.0]	[71, 60, 62, 64]
Bar	[0.0]	[69]
Bar	[0.0, 1.0, 2.0, 3.0]	[69, 59, 61, 63]
Bar	[0.0]	[67]
Bar	[1.0, 2.0, 3.0]	[64, 66, 67]
Bar	[0.0, 1.0, 2.0, 3.0]	[69, 66, 69, 67]
Bar	[0.0]	[64]
Bar	[0.0, 2.0, 3.0]	[64, 63, 64]
Grp	0.0	
Bar	[0.0, 1.0, 2.0]	[66, 59, 66]
Bar	[0.0, 1.0, 2.0, 3.0]	[66, 66, 64, 66]
Bar	[0.0]	[67]
Bar	[0.0, 1.0, 2.0, 3.0]	[67, 67, 66, 67]
Grp	0.0	
Bar	[0.0]	[69]
Bar	[0.0, 1.0, 2.0, 3.0]	[69, 62, 74, 72]
Bar	[0.0]	[71]
Bar	[0.0, 2.0, 3.0]	[71, 70, 71]
Grp	0.0	
Bar	[0.0, 1.0, 2.0, 3.0]	[72, 72, 69, 69]
Bar	[0.0, 3.0]	[66, 72]
Bar	[0.0, 2.0]	[71, 71]
Bar	[0.0, 3.0]	[71, 64]
Grp	0.0	
Bar	[0.0, 3.0]	[69, 67]
Bar	[0.0, 2.0, 3.0]	[66, 67, 59]
Bar	[0.0]	[64]
Bar	[1.0, 2.0, 3.0]	[64, 66, 67]
