TS	4/4	
Grp	3.0	
Bar	[3.0]	[76]
Bar	[0.0, 1.0, 2.0, 3.0]	[76, 76, 78, 78]
Bar	[0.0]	[76]
Grp	3.0	
Bar	[3.0]	[73]
Bar	[0.0, 1.0, 2.0, 3.0, 3.75]	[74, 73, 71, 73, 74]
Bar	[0.0, 2.0]	[71, 69]
Grp	0.0	
Bar	[0.0]	[71]
Bar	[0.0, 1.0, 2.0, 3.0]	[71, 71, 73, 73]
Bar	[0.0]	[71]
Grp	3.0	
Bar	[3.0]	[71]
Bar	[0.0, 0.5, 1.0, 2.0, 3.0]	[73, 75, 76, 76, 75]
Bar	[0.0]	[76]
Grp	3.0	
Bar	[3.0]	[76]
Bar	[0.0, 1.0, 2.0, 3.0]	[78, 76, 74, 73]
Bar	[0.0]	[74]
Grp	3.0	
Bar	[3.0]	[73]
Bar	[0.0, 1.0, 1.75, 2.0, 3.0, 3.5]	[71, 73, 74, 71, 71, 69]
Bar	[0.0]	[69]
