TS;4/4;;
Grp;0.0;;
Bar;0;[0.0, 1.0, 1.5, 2.0];[72, 67, 64, 64]
Bar;;[0.0, 2.0, 2.666666666666667, 3.333333333333333];[64, 72, 74, 72]
Bar;0;[0.0, 1.0, 1.5, 2.0];[71, 68, 64, 64]
Bar;;[0.0];[64]
Grp;0.0;;
Bar;0;[0.0, 1.5, 2.0];[69, 67, 64]
Bar;;[0.0, 1.0, 2.0, 2.666666666666668, 3.333333333333332];[64, 63, 64, 70, 69]
Bar;0;[0.0, 2.0];[67, 65]
Bar;;[0.0];[65]
Grp;0.0;;
Bar;0;[0.0, 1.5, 2.0];[64, 63, 62]
Bar;;[0.0, 2.0, 2.6666666666666643, 3.3333333333333357];[62, 64, 68, 71]
Bar;0;[0.0, 2.0];[74, 72]
Bar;;[0.0];[72]
Grp;0.0;;
Bar;0;[0.0, 1.5, 2.0];[71, 70, 69]
Bar;;[0.0, 2.0, 2.6666666666666643, 3.3333333333333357];[69, 69, 74, 71]
Bar;0;[0.0];[69]
Bar;0;[0.0];[71]
Grp;0.0;;
Bar;0;[0.0, 1.0, 1.5, 2.0];[72, 67, 64, 64]
Bar;;[0.0, 2.0, 2.6666666666666714, 3.3333333333333286];[64, 72, 74, 72]
Bar;0;[0.0, 1.0, 1.5, 2.0];[71, 68, 64, 64]
Bar;;[0.0];[64]
Grp;0.0;;
Bar;0;[0.0, 1.5, 2.0];[69, 67, 64]
Bar;;[0.0, 1.0, 2.0, 2.6666666666666714, 3.3333333333333286];[64, 63, 64, 70, 69]
Bar;0;[0.0, 2.0];[67, 65]
Bar;;[0.0];[65]
Grp;0.0;;
Bar;0  2;[0.0, 2.0, 3.0];[74, 72, 71]
Bar;0;[0.0, 3.0];[74, 72]
Bar;0  2;[0.0, 2.0, 3.0];[71, 64, 67]
Bar;0;[0.0, 3.0];[71, 69]
Grp;0.0;;
Bar;0;[0.0, 2.0, 3.0];[72, 69, 72]
Bar;0;[0.0, 2.0];[76, 76]
Bar;0  2;[0.0];[72]
Bar;0  2;[0.0];[72]
Bar;0;[0.0];[72]
