TS	4/4	
Grp	0.0	
Bar	[0.0, 1.0, 2.0, 3.0]	[64, 71, 71, 69]
Bar	[0.0, 1.0, 1.5, 2.0, 3.0]	[71, 64, 66, 67, 67]
Bar	[0.0, 1.0, 2.0]	[67, 66, 64]
Grp	0.0	
Bar	[0.0, 1.0, 2.0, 3.0]	[67, 67, 67, 64]
Bar	[0.0, 1.0, 2.0, 3.0]	[67, 69, 71, 69]
Bar	[0.0, 1.0, 2.0]	[67, 66, 64]
Grp	0.0	
Bar	[0.0, 1.0, 2.0, 3.0]	[67, 67, 67, 64]
Bar	[0.0, 1.0, 2.0, 3.0]	[67, 69, 71, 69]
Bar	[0.0]	[67]
Grp	2.0	
Bar	[2.0]	[74]
Bar	[0.0, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[76, 74, 72, 71, 69, 67, 69]
Bar	[0.0, 1.0, 2.0, 3.0]	[71, 69, 67, 66]
Bar	[0.0]	[64]
