TS	4/4	
Grp	3.0	
Bar	[3.0]	[67]
Bar	[0.0, 1.0, 2.0, 3.0, 3.5]	[67, 63, 65, 67, 65]
Bar	[0.0, 1.0, 2.0]	[63, 62, 60]
Grp	3.0	
Bar	[3.0]	[67]
Bar	[0.0, 1.0, 2.0, 3.0, 3.5]	[67, 65, 70, 67, 65]
Bar	[0.0, 1.0, 2.0]	[63, 65, 67]
Grp	3.0	
Bar	[3.0, 3.5]	[67, 69]
Bar	[0.0, 1.0, 1.5, 2.0, 3.0]	[70, 72, 74, 75, 74]
Bar	[0.0, 1.0, 2.0]	[72, 71, 72]
Grp	3.0	
Bar	[3.0]	[72]
Bar	[0.0, 1.0, 2.0, 3.0]	[74, 72, 70, 69]
Bar	[0.0, 1.0, 2.0]	[67, 69, 67]
Grp	3.0	
Bar	[3.0]	[72]
Bar	[0.0, 1.0, 2.0, 2.5, 3.0]	[70, 69, 70, 68, 67]
Bar	[0.0, 1.0, 2.0]	[67, 65, 63]
Grp	3.0	
Bar	[3.0]	[67]
Bar	[0.0, 1.0, 1.5, 2.0, 3.0]	[68, 67, 65, 63, 65]
Bar	[0.0, 1.0, 2.0]	[63, 62, 60]
