TS	4/4	
Grp	3.0	
Bar	[3.0]	[74]
Bar	[0.0, 1.0, 2.0, 2.5, 3.0]	[74, 74, 74, 76, 77]
Bar	[0.0, 1.0, 2.0]	[76, 74, 72]
Grp	3.0	
Bar	[3.0]	[74]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0, 3.0]	[71, 69, 67, 69, 71, 73]
Bar	[0.0, 1.0, 2.0]	[74, 76, 74]
Grp	0.0	
Bar	[0.0]	[74]
Bar	[0.0, 1.0, 2.0, 3.0]	[79, 78, 76, 78]
Bar	[0.0, 0.5, 1.0, 2.0]	[79, 78, 76, 74]
Grp	3.0	
Bar	[3.0]	[74]
Bar	[0.0, 1.0, 2.0, 3.0, 3.5]	[79, 74, 76, 71, 72]
Bar	[0.0, 1.0, 2.0]	[74, 72, 71]
Grp	3.0	
Bar	[3.0]	[71]
Bar	[0.0, 0.5, 1.0, 2.0, 3.0]	[69, 71, 72, 71, 69]
Bar	[0.0, 1.0, 2.0]	[64, 66, 67]
