TS	4/4	
Grp	3.0	
Bar	[3.0]	[69]
Bar	[0.0, 1.0, 2.0, 3.0]	[66, 62, 69, 69]
Bar	[0.0]	[71]
Grp	3.0	
Bar	[3.0]	[71]
Bar	[0.0, 1.0, 2.0, 3.0]	[64, 64, 69, 67]
Bar	[0.0, 1.0]	[66, 62]
Grp	3.0	
Bar	[3.0]	[69]
Bar	[0.0, 1.0, 2.0, 3.0]	[71, 71, 69, 67]
Bar	[0.0]	[66]
Grp	2.0	
Bar	[3.0]	[64]
Bar	[0.0, 1.0, 2.0, 3.5]	[66, 68, 69, 71]
Bar	[0.0, 2.0]	[68, 69]
Grp	3.0	
Bar	[3.0]	[69]
Bar	[0.0, 1.0, 2.0, 3.0]	[69, 69, 74, 72]
Bar	[0.0]	[71]
Grp	3.0	
Bar	[3.0]	[71]
Bar	[0.0, 1.0, 2.0, 3.0]	[71, 71, 76, 74]
Bar	[0.0]	[73]
Grp	3.0	
Bar	[3.0]	[69]
Bar	[0.0, 1.0, 2.0, 3.0]	[71, 69, 71, 73]
Bar	[0.0]	[74]
Grp	3.0	
Bar	[3.0]	[69]
Bar	[0.0, 1.0, 1.5, 2.0, 3.0]	[69, 67, 66, 64, 64]
Bar	[0.0]	[62]
