TS	4/4	
Grp	3.0	
Bar	[3.0]	[66]
Bar	[0.0, 1.0, 2.0, 3.0]	[71, 69, 67, 66]
Bar	[0.0, 2.0]	[64, 66]
Grp	3.0	
Bar	[3.0]	[73]
Bar	[0.0, 1.0, 2.0, 2.5, 3.0]	[74, 74, 73, 71, 73]
Bar	[0.0]	[71]
Grp	0.0	
Bar	[0.0]	[74]
Bar	[0.0, 0.5, 1.0, 2.0, 3.0]	[73, 71, 69, 71, 73]
Bar	[0.0, 2.0]	[74, 74]
Grp	3.0	
Bar	[3.0]	[69]
Bar	[0.0, 1.0, 2.0, 3.0]	[71, 69, 67, 67]
Bar	[0.0]	[66]
Grp	3.0	
Bar	[3.0]	[74]
Bar	[0.0, 0.5, 1.0, 2.0, 3.0]	[73, 74, 76, 74, 73]
Bar	[0.0, 2.0]	[71, 73]
Grp	3.0	
Bar	[3.0]	[66]
Bar	[0.0, 1.0, 2.0, 3.0]	[67, 66, 64, 69]
Bar	[0.0]	[66]
