TS	4/4	
Grp	3.0	
Bar	[3.0]	[74]
Bar	[0.0, 1.0, 1.5, 2.0, 2.5, 3.0]	[76, 74, 72, 71, 72, 74]
Bar	[0.0]	[69]
Grp	2.0	
Bar	[2.0, 3.0]	[71, 73]
Bar	[0.0]	[74]
Grp	3.0	
Bar	[3.0]	[74]
Bar	[0.0, 1.0, 2.0, 2.5, 3.0]	[76, 74, 69, 71, 72]
Bar	[0.0, 1.0, 2.0]	[71, 69, 67]
Grp	3.0	
Bar	[3.0]	[67]
Bar	[0.0, 0.5, 1.0, 2.0, 2.5, 3.0]	[69, 71, 72, 71, 72, 74]
Bar	[0.0, 1.0, 2.0, 2.5, 3.0]	[74, 69, 67, 66, 64]
Bar	[0.0]	[62]
Grp	3.0	
Bar	[3.0]	[62]
Bar	[0.0, 1.0, 2.0, 2.5, 3.0]	[67, 69, 71, 72, 74]
Bar	[0.0, 1.0, 2.0, 3.0]	[74, 72, 71, 69]
Bar	[0.0]	[71]
Grp	3.0	
Bar	[3.0, 3.5]	[71, 72]
Bar	[0.0, 1.0, 2.0, 3.0]	[74, 76, 74, 69]
Bar	[0.0, 1.0, 2.0]	[71, 73, 74]
Grp	3.0	
Bar	[3.0]	[74]
Bar	[0.0, 1.0, 2.0, 2.5, 3.0]	[76, 74, 69, 71, 72]
Bar	[0.0, 1.0, 2.0]	[71, 69, 67]
Grp	3.0	
Bar	[3.0]	[67]
Bar	[0.0, 0.5, 1.0, 2.0, 2.5, 3.0]	[69, 71, 72, 71, 72, 74]
Bar	[0.0, 1.0, 2.0, 2.5, 3.0]	[74, 69, 67, 66, 64]
Bar	[0.0]	[62]
Grp	3.0	
Bar	[3.0]	[62]
Bar	[0.0, 1.0, 2.0, 2.5, 3.0]	[67, 69, 71, 72, 74]
Bar	[0.0, 1.0, 2.0, 3.0]	[74, 72, 71, 69]
Bar	[0.0, 1.0, 2.0]	[64, 66, 67]
Grp	3.0	
Bar	[3.0]	[69]
Bar	[0.0, 1.0, 2.0]	[71, 67, 64]
Bar	[0.0]	[62]
Grp	1.0	
Bar	[1.0, 1.5, 1.75, 2.0]	[69, 71, 72, 71]
Bar	[0.0, 2.0]	[69, 67]
