TS	3/4	
Grp	2.0	
Bar	[2.0]	[67]
Bar	[0.0, 2.0]	[67, 74]
Bar	[0.0, 1.5, 2.0]	[71, 69, 67]
Bar	[0.0, 1.5, 2.0]	[67, 69, 71]
Bar	[0.0]	[69]
Grp	2.0	
Bar	[2.0]	[71]
Bar	[0.0, 2.0]	[74, 72]
Bar	[0.0, 1.0]	[71, 69]
Bar	[0.0]	[67]
Grp	0.0	
Bar	[0.0]	[71]
Bar	[0.0, 1.0, 2.0]	[71, 72, 74]
Bar	[0.0, 1.5, 2.0]	[74, 72, 71]
Bar	[0.0]	[69]
Grp	2.0	
Bar	[2.0]	[67]
Bar	[0.0, 2.0]	[71, 72]
Bar	[0.0, 2.0]	[74, 72]
Bar	[0.0]	[71]
Bar	[0.0]	[67]
Grp	2.0	
Bar	[2.0]	[71]
Bar	[0.0, 2.0]	[74, 72]
Bar	[0.0, 2.0]	[71, 69]
Bar	[0.0, 1.5, 2.0]	[67, 69, 71]
Bar	[0.0]	[69]
Grp	2.0	
Bar	[2.0]	[71]
Bar	[0.0, 2.0]	[74, 72]
Bar	[0.0, 1.0]	[71, 69]
Bar	[0.0]	[67]
