TS	4/4	
Grp	3.0	
Bar	[3.0]	[67]
Bar	[0.0, 1.0, 2.0, 3.0]	[74, 74, 74, 74]
Bar	[0.0, 1.0, 1.5, 2.0]	[76, 74, 72, 71]
Grp	3.0	
Bar	[3.0]	[69]
Bar	[0.0, 0.5, 1.0, 2.0, 3.0]	[71, 73, 74, 76, 76]
Bar	[0.0]	[74]
Grp	3.0	
Bar	[3.0]	[74]
Bar	[0.0, 1.0, 2.0, 3.0, 3.5]	[74, 74, 74, 71, 72]
Bar	[0.0, 1.0, 1.5, 2.0]	[74, 72, 71, 69]
Grp	3.0	
Bar	[3.0]	[74]
Bar	[0.0, 1.0, 2.0, 3.0]	[72, 71, 69, 69]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0]	[67, 69, 71, 72, 74]
Grp	3.0	
Bar	[3.0]	[74]
Bar	[0.0, 1.0, 1.5, 2.0, 3.0]	[72, 71, 69, 71, 69]
Bar	[0.0]	[67]
